completed_quarters,completed_path,margin_bucket,sample_size,sample_quality,final_win_count,final_loss_count,final_tie_count,final_win_probability,final_loss_probability,final_tie_probability,final_win_pct,final_loss_pct,final_tie_pct,final_fair_decimal_tie_is_loss,final_fair_american_tie_is_loss,final_fair_decimal_tie_is_push,final_fair_american_tie_is_push
2,LOSS-WIN,LEAD_8_14,3,VERY_LOW,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
2,LOSS-WIN,TIE,3,VERY_LOW,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
2,LOSS-WIN,TRAIL_1_3,4,VERY_LOW,1,3,0,0.25,0.75,0.0,25.0,75.0,0.0,4.0,300.0,4.0,300.0
2,LOSS-WIN,TRAIL_4_7,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
2,LOSS-WIN,TRAIL_8_14,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
2,LOSS-LOSS,TRAIL_15_PLUS,9,VERY_LOW,1,8,0,0.1111,0.8889,0.0,11.1111,88.8889,0.0,9.0,800.0,9.0,800.0
2,LOSS-LOSS,TRAIL_4_7,10,VERY_LOW,3,7,0,0.3,0.7,0.0,30.0,70.0,0.0,3.3333,233.33,3.3333,233.33
2,LOSS-LOSS,TRAIL_8_14,10,VERY_LOW,1,9,0,0.1,0.9,0.0,10.0,90.0,0.0,10.0,900.0,10.0,900.0
2,LOSS-TIE,TRAIL_1_3,3,VERY_LOW,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
2,LOSS-TIE,TRAIL_4_7,5,VERY_LOW,3,2,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0
2,LOSS-TIE,TRAIL_8_14,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
2,TIE-WIN,LEAD_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,TIE-WIN,LEAD_1_3,4,VERY_LOW,3,1,0,0.75,0.25,0.0,75.0,25.0,0.0,1.3333,-300.0,1.3333,-300.0
2,TIE-WIN,LEAD_4_7,6,VERY_LOW,5,1,0,0.8333,0.1667,0.0,83.3333,16.6667,0.0,1.2,-500.0,1.2,-500.0
2,TIE-WIN,LEAD_8_14,6,VERY_LOW,6,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
2,TIE-LOSS,TRAIL_15_PLUS,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
2,TIE-LOSS,TRAIL_1_3,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
2,TIE-LOSS,TRAIL_4_7,5,VERY_LOW,4,1,0,0.8,0.2,0.0,80.0,20.0,0.0,1.25,-400.0,1.25,-400.0
2,TIE-LOSS,TRAIL_8_14,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
2,TIE-TIE,TIE,5,VERY_LOW,3,2,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0
3,WIN-WIN-WIN,LEAD_15_PLUS,19,VERY_LOW,19,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-WIN-WIN,LEAD_8_14,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-WIN-LOSS,LEAD_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-WIN-LOSS,LEAD_4_7,5,VERY_LOW,3,2,0,0.6,0.4,0.0,60.0,40.0,0.0,1.6667,-150.0,1.6667,-150.0
3,WIN-WIN-LOSS,LEAD_8_14,6,VERY_LOW,5,1,0,0.8333,0.1667,0.0,83.3333,16.6667,0.0,1.2,-500.0,1.2,-500.0
3,WIN-WIN-LOSS,TRAIL_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,WIN-WIN-LOSS,TRAIL_4_7,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-WIN-TIE,LEAD_15_PLUS,6,VERY_LOW,6,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-WIN,LEAD_1_3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-WIN,LEAD_4_7,8,VERY_LOW,7,1,0,0.875,0.125,0.0,87.5,12.5,0.0,1.1429,-700.0,1.1429,-700.0
3,WIN-LOSS-WIN,LEAD_8_14,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-WIN,TRAIL_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,WIN-LOSS-LOSS,LEAD_1_3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-LOSS,TIE,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-LOSS,TRAIL_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-LOSS,TRAIL_4_7,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,WIN-LOSS-TIE,LEAD_1_3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-TIE,TIE,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-TIE,TRAIL_4_7,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-LOSS-TIE,TRAIL_8_14,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,WIN-TIE-WIN,LEAD_15_PLUS,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-TIE-WIN,LEAD_4_7,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,WIN-TIE-WIN,LEAD_8_14,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-TIE-LOSS,LEAD_1_3,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-TIE-LOSS,LEAD_4_7,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,WIN-TIE-LOSS,TRAIL_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,WIN-TIE-TIE,LEAD_4_7,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-WIN-WIN,LEAD_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-WIN-WIN,LEAD_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-WIN-WIN,LEAD_4_7,3,VERY_LOW,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
3,LOSS-WIN-WIN,LEAD_8_14,3,VERY_LOW,3,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-WIN-WIN,TIE,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-WIN-WIN,TRAIL_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-WIN-WIN,TRAIL_4_7,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-WIN-LOSS,TIE,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-WIN-LOSS,TRAIL_15_PLUS,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-WIN-LOSS,TRAIL_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-WIN-LOSS,TRAIL_8_14,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-WIN-TIE,LEAD_15_PLUS,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-WIN-TIE,LEAD_4_7,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-WIN-TIE,LEAD_8_14,3,VERY_LOW,2,1,0,0.6667,0.3333,0.0,66.6667,33.3333,0.0,1.5,-200.0,1.5,-200.0
3,LOSS-WIN-TIE,TRAIL_4_7,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-LOSS-WIN,LEAD_1_3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-LOSS-WIN,LEAD_8_14,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-LOSS-WIN,TIE,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-LOSS-WIN,TRAIL_15_PLUS,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-LOSS-WIN,TRAIL_1_3,4,VERY_LOW,2,2,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
3,LOSS-LOSS-WIN,TRAIL_4_7,3,VERY_LOW,0,3,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-LOSS-WIN,TRAIL_8_14,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-LOSS-LOSS,TRAIL_15_PLUS,8,VERY_LOW,0,8,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-LOSS-LOSS,TRAIL_8_14,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-LOSS-TIE,TRAIL_15_PLUS,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-LOSS-TIE,TRAIL_4_7,3,VERY_LOW,1,2,0,0.3333,0.6667,0.0,33.3333,66.6667,0.0,3.0,200.0,3.0,200.0
3,LOSS-LOSS-TIE,TRAIL_8_14,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-TIE-WIN,LEAD_1_3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-TIE-WIN,LEAD_4_7,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,LOSS-TIE-WIN,TRAIL_4_7,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-TIE-LOSS,TRAIL_8_14,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
3,LOSS-TIE-TIE,TRAIL_1_3,2,VERY_LOW,0,2,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,LOSS-TIE-TIE,TRAIL_4_7,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,TIE-WIN-WIN,LEAD_15_PLUS,6,VERY_LOW,6,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-WIN-WIN,LEAD_1_3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-WIN-WIN,LEAD_4_7,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-WIN-WIN,LEAD_8_14,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-WIN-LOSS,LEAD_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,TIE-WIN-LOSS,LEAD_4_7,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-WIN-LOSS,TIE,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-WIN-LOSS,TRAIL_1_3,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-WIN-TIE,LEAD_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,TIE-WIN-TIE,LEAD_4_7,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-WIN-TIE,LEAD_8_14,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-LOSS-WIN,LEAD_4_7,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-LOSS-WIN,LEAD_8_14,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-LOSS-WIN,TIE,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,TIE-LOSS-WIN,TRAIL_15_PLUS,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,TIE-LOSS-LOSS,TRAIL_15_PLUS,3,VERY_LOW,0,3,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,TIE-LOSS-TIE,TRAIL_15_PLUS,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,TIE-LOSS-TIE,TRAIL_4_7,2,VERY_LOW,2,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-TIE-WIN,LEAD_1_3,1,VERY_LOW,0,1,0,0.0,1.0,0.0,0.0,100.0,0.0,,,,
3,TIE-TIE-WIN,LEAD_4_7,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-TIE-WIN,LEAD_8_14,1,VERY_LOW,1,0,0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,,1.0,
3,TIE-TIE-TIE,TIE,2,VERY_LOW,1,1,0,0.5,0.5,0.0,50.0,50.0,0.0,2.0,100.0,2.0,100.0
